,job_title,company,experience,salary,location,description,tags_associated,function_area,posting_date,scrape_date
0,Sr Designer : Interior/Exterior/BIW/Sunroof/HVAC/Seating,Satven,3-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai", 3 to 10 years of experience with Catia- V5 (Surfacing / Solid modelling / Drawing/ Asse...,catia v5,design plastic door trims sr interior trims injection closure,1 Day Ago,2023-03-05
1,Architect and Interior Designer,Milestone Consultants,0-3 Yrs,Not disclosed,Bangalore/Bengaluru(Shanti Nagar), Required Architects / Interior Designers with a BArch degree or D.Arch (Bachelors in In...,project management,CAD bill certification management interior designing architectural design project boq preparation,5 Days Ago,2023-03-05
2,Interior Designer,M/S Karribean Overseas,0-5 Yrs,1.75-2.25 Lacs PA,Kanpur Nagar," Candidate shall be well versed with Autocad, Sketchup and V-ray, Photoshop and MS offic...",interior designing,AutoCAD Candidate shall be well versed with Autocad vray revit design interiors auto,8 Days Ago,2023-03-05
3,Interior Designer,Aacord,1-2 Yrs,Not disclosed,"Pune, dhayari", Diploma / Bachelor in Interior Designing. . Good with Auto-cad and Sketch Up Software. ...,autocad,interiors 3d studio max 3ds max 3d designing design sketchup 3d,1 Day Ago,2023-03-05
4,Junior Architect and Interior Designer,Designwoods Studio,0-3 Yrs,"50,000-2.25 Lacs PA","Mumbai Suburban, Thane, Mumbai (All Areas)"," Should be proficient in designing interiors, architecture, drawings, site supervision, ...",autocad,ms office site supervision architecture architectural design working drawings sketchup interior designing,12 Days Ago,2023-03-05
5,Junior Interior Designer,RCPC,0-1 Yrs,Not disclosed,New Delhi," We are looking for an interior designer fresher or experienced, hardworking with all th...",technical design,tool design tools technical interior designing interiors design Interior Design,4 Days Ago,2023-03-05
6,Architect and Interior Designer,Adorn Design Studio ,0-5 Yrs,1.5-5 Lacs PA,Faridabad, Roles and Responsibilities - Design and coordination with principal Architect/Designer ...,Designing coordination with principal Architect site visit can work on 2d and 3d,site interiors 3d studio max 2d 3ds max draw drawing,11 Days Ago,2023-03-05
7,Senior Interior Designers,Finer Edge,5-8 Yrs,3.75-5 Lacs PA,"Mumbai(Ghatkopar West), Mumbai Suburban, Mumbai (All Areas)"," Location : Metro Station, Ghatkopar West, Mumbai 1) Sr Interior Designer: 5-8 yrs of ex...",3D sketches,Interior Designer Interior Designing interior decorator furniture design design development 3d furniture,1 Day Ago,2023-03-05
8,Interior Designer,Livspace,1-4 Yrs,Not disclosed,Salem, You should maintain familiarity with the Interior Design landscape and trends in order ...,interiors,sales design customer experience interior designing,1 Day Ago,2023-03-05
9,Senior Interior Designer,Olive Space,1-3 Yrs,4-5.5 Lacs PA,Hyderabad/Secunderabad(Jubilee Hills), The candidate will have end-to-end experience in managing a project with the necessary ...,Sketchup,Communication Skills production drawings presentation skills interiors client drawing production,1 Day Ago,2023-03-05
10,Interior Designer - Project Manager,Kanish Plaster,2-7 Yrs,Not disclosed,Coimbatore, Requirements . . . . A degree in Architecture or Interior Design and post graduation in...,soc,project management san construction management sm business development construction project,1 Day Ago,2023-03-05
11,"Interior designer: Lumion, Sketch UP Expert",rennovate.co.in,0-4 Yrs,2.5-4 Lacs PA,Mumbai(Fort)," Knowing Sketch up must, Lumion is MUST Architects with a BArch degree-preferred. . . . ...",sketch up,lumion architectural design interior designing design cad sketching interiors,14 Days Ago,2023-03-05
12,Interior Designer - Bangalore ( Face To face Interview on 8 Mar 23),DesignCafe,1-5 Yrs,3-6 Lacs PA,Bangalore/Bengaluru(Whitefield +2)," Job descriptionCollaborate with the customer, understand their requirements, and give t...",interior designing,client handling sketchup autocad design interiors handling client,1 Day Ago,2023-03-05
13,Interior Designer,Aryan Interiors,0-2 Yrs,Not disclosed,"Gujarat, Karnataka, Tamil Nadu, Maharashtra"," We are looking for a candidate who is good in Computer Aided Designing (CAD), PowerPoin...",Interior Designing,powerpoint layout 2d design interiors cad excel,12 Days Ago,2023-03-05
14,Interior Designer,YH Engineering,0-5 Yrs,1.75-3.5 Lacs PA,"Noida, Greater Noida(Sector Gamma Gr Noida +2)", Bike Most required for site supervision. . Should be serious and dedicated towards his ...,interior designing,Autocad 2D/3D Google Sketch up interior designer Architecture DESIGN photoshop sketchup 3d studio max,11 Days Ago,2023-03-05
15,Immediate openings For Interior Designer-Freshers,People Prime Worldwide,0-1 Yrs,Not disclosed,Hyderabad/Secunderabad," Interior designers make indoor spaces functional, safe, and beautiful by determining sp...",interior designing,architectural design design interiors architecture interior decoration,11 Days Ago,2023-03-05
16,CAD Designer ( Corporate interiors),Space Matrix Design Consultants,3-5 Yrs,Not disclosed,Mumbai," You should provide test-fit layouts, general arrangements and detailed technical drawin...",cad drawing,software testing corporate planning time management space planning technical documentation,3 Days Ago,2023-03-05
17,Interior designer 3d visualizer,Disha4designs,3-5 Yrs,4-5 Lacs PA,Noida, interior designer/architect with 3d visualizerPerks and Benefits,AutoCAD,3d visualizer autodesk 3ds max photoshop interiors 3d studio max 3ds max visualiser,1 Day Ago,2023-03-05
18,Interior Designer/Assistant Architect,Select Q,0-3 Yrs,Not disclosed,Faridabad, Interior designer will be responsible for making AutoCAD Drawings for various residenti...,AutoCAD,Interior Designing autocad 2d interior architecture assistance 2d design architecture,4 Days Ago,2023-03-05
19,Senior Interior Designer,Seedle Design Llp,8-12 Yrs,Not disclosed,Mumbai, Should have good knowledge of detailing and materialsProficient with AutoCAD. . . Quali...,AutoCAD,project senior quality control quality coordination interior designing site,4 Days Ago,2023-03-05
20,Relationship Manager - Retail Banking,Icici Bank,0-5 Yrs,Not disclosed,Mumbai, The candidate should have aPost-Graduate / MBA degree from a leading institution with s...,management,sales analysis value analysis relationship logistics retail banking sales process,3 Days Ago,2023-03-05
21,Walkin in Banking sales For Relationship Officer @Pune Location,Axis Bank,0-5 Yrs,1.5-2.5 Lacs PA,Pune, . Can freshers apply: Yes Language requirement: Marathi / Hindi/English . . sould have ...,banking sales,relationship sales,11 Days Ago,2023-03-05
22,Relationship Officer- Home Loan- Retail Banking-Bangalore,Axis Bank,0-5 Yrs,1.75-2.5 Lacs PA,Bangalore/Bengaluru(Electronic City +3)," EXPERIANCE - Freshers and experienced can apply, Both Men and women are eligible",Sales,marketing telecom sales showroom direct sales retail business development field,1 Day Ago,2023-03-05
23,"Virtual Relationship Manager at Hdfc Bank(Pune, Mohali & Ahmedabad)",Ayka Communication,0-4 Yrs,2-2.75 Lacs PA,"Mohali, Pune, Ahmedabad", Fresher / Experienced. . Qualification - Any graduates can applySome Experience as Clie...,BPO,Bank Sales english treasury relationship management management communication skills,1 Day Ago,2023-03-05
24,Hdfc Bank - Wholesale Credit Manager role - CA Fresher,Hdfc Bank,0-5 Yrs,Not disclosed,"Pune, Mumbai (All Areas)", HDFC bank is hiring for Wholesale Credit Vertical - Credit Manager role - CA FRESHEROng...,credit management,credit manager credit underwriting credit wholesale management credit appraisal ca,29 Days Ago,2023-03-05
25,Relationship Manager-Business Banking,IDFC FIRST Bharat,0-3 Yrs,Not disclosed,Hyderabad/Secunderabad, Graduate - Any . . Post Graduate - MBA / CA Preferred (Tier I) . . . The role entails p...,management,credit assessment acquisition business banking analytics relationship relationship management monitoring,10 Days Ago,2023-03-05
26,Hiring freshers - Banking Process,Teleperformance (TP),04 Mar - 13 Mar,1.75-2 Lacs PA,Bangalore/Bengaluru(Marathahalli), male [rotational shift] female [day rotational shift],CSA,Customer Service fresher Domestic BPO banking process calling inbound relationship,1 Day Ago,2023-03-05
27,Freshers job in Bank,PVR Cinemas,0-1 Yrs,2-2.75 Lacs PA,"Madurai, Chennai, Coimbatore", Skills: BANKING AND FINANCE KNOWLEDGE MUST. . Job Type: FULL TIME / ON ROLL(permanent j...,Banking Operations,branch operations private banking banking operation operations freshers Banking B.E,Just Now,2023-03-05
28,"Wanted Freshers For PVT Bank- Banking Officer Role, Teller",Calibre Infotech,0-2 Yrs,2.5-3.75 Lacs PA,"Theni, Coimbatore, Erode"," Were hiring for Banking Sector PVT Banking profile in Coimbatore, Erode, Salem, Karur E...",fresher,finance operation finance financial operations operations banking,1 Day Ago,2023-03-05
29,Relationship Manager: Retail Banking (PAN India),Icici Bank,3-8 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru, Mumbai (All Areas)", The candidate should have a Post-Graduate / MBA degree from a leading institution with ...,Sales,selling handling cross selling customer relationship rm customer service relationship,1 Day Ago,2023-03-05
30,Relationship Manager: Retail Banking (PAN India),Icici Bank,3-8 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru, Mumbai (All Areas)", The candidate should have a Post-Graduate / MBA degree from a leading institution with ...,Sales,management selling mortgage customer handling retail banking development pan,1 Day Ago,2023-03-05
31,Mega Walk-In Drive @ Axis Bank-Tirupati & Vizag & Vijayawada,Axis Bank,04 Mar - 06 Mar,1.75-3.75 Lacs PA,"Hybrid - Tirupati, Vijayawada, Visakhapatnam"," Women, LGBTQIA+ and PwD candidates of all ages are encouraged to apply . We are Looking...",Sales,field sales field marketing activities drives marketing axis,1 Day Ago,2023-03-05
32,Assistant Relationship Manager | Retail Banking-Fresher,Next Business Services India,0-4 Yrs,2.25-4 Lacs PA,"Noida, Haridwar, Kashipur, Ghaziabad, Rudrapur, Haldwani, Gurgaon/Gurugram, Delhi / NCR", Assistant Relationship Manager -Maintains a loan and credit card portfolio that include...,Retail Banking,Private Banking Assistant Relationship Corporate Banking Branch Banking marketing relationship business banking,1 Day Ago,2023-03-05
33,Hiring For Banking sales For Relationship Officer & Team Leader@GOA,Axis Bank,0-5 Yrs,"50,000-2.5 Lacs PA",Goa, Can freshers apply: Yes Language requirement: Marathi / Hindi/English sould have experi...,fresher,sales banking sales sales and marketing marketing hiring mba marketing team,11 Days Ago,2023-03-05
34,Pune | Banking Hiring | Freshers & Exp. both Can apply,O3 Hire,0-5 Yrs,2-3.25 Lacs PA,Pune, ONROLL POSITION AND FRESHERS CAN ALSO APPLYIndustry: Banking | NBFC | BFSI Designation:...,B2C Sales,Direct Sales Banking Communication Skills fresher direct bbm mba marketing,3 Days Ago,2023-03-05
35,Opening For  Freshers For Banking Bpo process- NTT Data Services,NTT DATA Business Solutions Private Limited,0-1 Yrs,Not disclosed,"Chennai, Coimbatore", Ability to work in US shifts from Monday-Friday. University degree or equivalent that r...,Call center,Fresher Bpo Non Voice data non voice data services international voice,3 Days Ago,2023-03-05
36,Hiring Fresher For Banking Operations Officer,PVR Cinemas,0-0 Yrs,2.75-3.5 Lacs PA,"Madurai, Chennai, Coimbatore", Qualification to Join Bank Jobs in Coimbatore: Educational Qualifications: Graduate Any...,banking operations,handling voice cash hiring customer relationship relationship operations,4 Days Ago,2023-03-05
37,Direct walk In -Interview @ Axis Bank (quess)-Sales officer position,Axis Bank,28 Feb - 09 Mar,"50,000-2.5 Lacs PA",Bangalore/Bengaluru," EXPERIANCE - Freshers and experienced can apply, Both Men and women are eligible",Sales,marketing credit telecom sales showroom direct sales retail business development,5 Days Ago,2023-03-05
38,Phone Banking Officer,Hdfc Bank,24 Feb - 05 Mar,2-2.75 Lacs PA,Chennai(Aminjikarai), Fresher / Experienced in BPO or Banking sector can attend. . Salary Package (15k-22k) a...,Communication Skills,malayalam phone banking english kannada tamil,9 Days Ago,2023-03-05
39,Urgent requirement For relationship officer/MIS Executive,banking ,28 Feb - 09 Mar,1.5-2.75 Lacs PA,"Mohali, Chandigarh"," Qualification:- HSC, Graduation, Post-Graduation. . . . Salary:- 15 to 20K Note : Must ...",Sales,swipe machine Home Loan credit card field work requirements credit relationship,4 Days Ago,2023-03-05
40,Content Writer,Riser Techub,0-0 Yrs,"50,000-1 Lacs PA",Pune(Baner), Exp :- Freshers Required,content writing,Web Content Writing Blog Writing social media content writer seo content web content,Today,2023-03-05
41,Content writer (WFH/remote),Talkvalley,0-5 Yrs,3.5-8.5 Lacs PA,"Noida, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," As a content writer, you will be responsible for creating high-quality content that eng...",Content Writing,writing blog writing development remote web content content development copy writing,2 Days Ago,2023-03-05
42,Fresher Content Writing Jobs | Copy Writer Job- Work from Home Mumbai,Advids,0-4 Yrs,1.75-4.25 Lacs PA,"Temp. WFH - Kochi/Cochin, Pune, Mumbai (All Areas)", About Advids & Your Role as Content WriterAdvids helps businesses globally create video...,Content Writing,Creative Writing Copy Writing articles scripting video writing article writing,9 Days Ago,2023-03-05
43,Wakefit || Hiring For Content Writer Intern(Remote),Wakefit Innovations,0-2 Yrs,Not disclosed,Bangalore/Bengaluru(Koramangala), Wakefit is looking for a talented content writing intern to join our teamAs a content w...,SEO Writing,Creative Writing Content Editing content writing proof reading remote marketing writing,1 Day Ago,2023-03-05
44,Psychology || Academic Content Writer || Contractual,Evelyn Learning Systems,0-1 Yrs,1.75-2.5 Lacs PA,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," Roles and Responsibilities 1. To create error free, step by step solutions of the subje...",subject matter expertise,psychology writing content development content subject academic writing content writing,5 Days Ago,2023-03-05
45,Content Writer,Portalwiz Technologies,0-2 Yrs,1.75-3.25 Lacs PA,Pune(Pimpri), Able to study and analyze the scripts / concepts to understand the required mood and ov...,Instructional Design,Content Creation english writing content writing storyboarding development teaching,3 Days Ago,2023-03-05
46,Content Writer - Advertising Business,Okda Solutions,0-5 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR"," Responsibilities :- Research industry-related topics (combining online sources, intervi...",content management systems,writing content writing management management systems marketing development content management,5 Days Ago,2023-03-05
47,Content Writer - Advertising Business,Okda Solutions,0-5 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", We are hiring Content Writer for our client company which is a leader in Advertisement ...,Blogging,Editorial writing management content writing marketing development content management,5 Days Ago,2023-03-05
48,Content Writer - Advertising Business,Okda Solutions,0-5 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Bangalore/Bengaluru", We are hiring Content Writer for our client company which is a leader in Advertisement ...,Blogging,Editorial management content management advertising writing content marketing blogs,5 Days Ago,2023-03-05
49,Content Writer,Young Nomads Infotech,0-2 Yrs,1.25-2.25 Lacs PA,Permanent Remote," Requirements : . . Bachelors degree in English, Journalism, Communications, Marketing, ...",Content Writing,seo writing blogs blog posting writing content posting article writing,1 Day Ago,2023-03-05
50,Wipro Kochi- Opening For Summary or Content Writer profile,Wipro,0-5 Yrs,Not disclosed,Kochi/Cochin, Shift: RotationalForward me your updated resume at: arpita.chakraborty7@wipro.com. . Ed...,Content Writing,writing blog writing blogs web content media journalism content,1 Day Ago,2023-03-05
51,"Content Writer, Content developer, Content writing, SEO Writing",Expert Outsource,2-6 Yrs,2.5-5 Lacs PA,Permanent Remote, Candidates should have a portfolio of published articles and possess knowledge of SEO a...,content writing,Blog Writing content development editing web content blogs creative writing web content writing,1 Day Ago,2023-03-05
52,Content Writer | Sunstone (Freshers Can also apply),Sunstone Business School,0-4 Yrs,3-5 Lacs PA,Gurgaon/Gurugram, Reach out to students and colleges to generate content which users need Passionate abou...,content writing,content creation content development research secondary content social media content marketing secondary research,1 Day Ago,2023-03-05
53,Technical Content Writer,PageTraffic,0-4 Yrs,Not disclosed,Permanent Remote, Excellent writing and editing skills in English . . . . Ability to meet deadlines . . ....,technical content writing,brand awareness management awareness technical journalism publishing production,1 Day Ago,2023-03-05
54,Fresher Content Writing Jobs | Copy Writer Job- Work from Home Kolkata,Advids,0-4 Yrs,1.75-4.25 Lacs PA,"Temp. WFH - Kolkata, Bangalore/Bengaluru, Delhi / NCR", About Advids & Your Role as Content WriterAdvids helps businesses globally create video...,Content Writing,Creative Writing Copy Writing communication skills blog writing article writing creative content scripting,9 Days Ago,2023-03-05
55,Fresher Content Writing Jobs | Copy Writer Job- Work from Home Delhi,Advids,0-4 Yrs,1.75-4.25 Lacs PA,"Temp. WFH - Chennai, Coimbatore, Delhi / NCR", About Advids & Your Role as Content WriterAdvids helps businesses globally create video...,Content Writing,Creative Writing Copy Writing script writing editing creative content video content,9 Days Ago,2023-03-05
56,SEO Writer/ Content writer- US IT MNC- Pune - Immediate joiner,Mid size US IT MNC,0-2 Yrs,Not disclosed,Hybrid - Pune," Should have the basic understanding of Keyword relevancy, density and placement and oth...",SEO Writing,SEO Article Writing site analysis searching content optimization digital marketing search engine optimization,2 Days Ago,2023-03-05
57,Content Writer,Pixel Media,0-3 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Qualifications and Education Requirements: . . Bachelors degree in communications, mark...",writing,content writing marketing strategy marketing sales research development analytics,9 Days Ago,2023-03-05
58,Statistics - Academic Content Writer - SME || WFH,Evelyn Learning Systems,0-1 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR", Roles and Responsibilities 1. Primary content development work will be of well-explaine...,academics,content development content english statistics languages sme english language,8 Days Ago,2023-03-05
59,Content Writer -eCommerce,Revolux Solutions,0-1 Yrs,Not disclosed,"Temp. WFH - Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR"," Intern Responsibilities & Activities : 1.Write interesting posts around technology, eCo...",Content Writing,management creative social media content management writing media creative writing,10 Days Ago,2023-03-05
60,CONSULTANT,Macro Technosoft,0-5 Yrs,Not disclosed,New Delhi, Undertake short-term or long-term projects to address a variety of issues and needs Mee...,center,consulting hrsd counselling Counsellor HR Head Counsellor Center Head,1 Day Ago,2023-03-05
61,Physician and Consultant,"Vairag Multispeciality Hospital ,vairag",02 Mar - 11 Mar,22.5-35 Lacs PA,"Pune, Bangalore/Bengaluru, Mumbai (All Areas)"," Roles and Responsibilities ICU Management, Desired Candidate ProfileM.B.B.S MD Perks an...",icu,consulting critical care management icu management and critical care management of all faculties,4 Days Ago,2023-03-05
62,Consultant :: Gastroenterology,Fortis,0-2 Yrs,Not disclosed,Amritsar, We Urgently required Consultant Gastroenterology.Qualification :- DM (Gastroenterology)...,Gastroenterology,consulting,4 Days Ago,2023-03-05
63,Study Abroad Consultant,Guidance Plus Educational Services,0-5 Yrs,Not disclosed,Kochi/Cochin, Recruit new students to International colleges & Universities. . Evaluates Recruitment ...,student counseling,overseas education counselling education consulting admissions admission counselling business development,4 Days Ago,2023-03-05
64,Consultant  Radiologist/ DMRD,Krishna Consultants,0-5 Yrs,Not disclosed,"Dispur, Assam"," Explaining sonographic procedures to patients, answering questions, preparing patients ...",radiology,monitoring mdt consulting MD Consultant DMRD,5 Days Ago,2023-03-05
65,Consultant  Radiologist / DMRD,Krishna Consultants,0-5 Yrs,Not disclosed,Panipat," Explaining sonographic procedures to patients, answering questions, preparing patients ...",sonographic,consulting sonography pathology pathological sonograms Sonologist DMRD Radiologist,5 Days Ago,2023-03-05
66,Consultant Sonologist/ Radiologist,Krishna Consultants,0-5 Yrs,Not disclosed,Visakhapatnam," Explaining sonographic procedures to patients, answering questions, preparing patients ...",Diagnostics,Radiologist Medical Records radiology emergency medical consulting sonography,5 Days Ago,2023-03-05
67,Consultant  Radiologist/ DMRD,Krishna Consultants,0-5 Yrs,Not disclosed,Goalpara," Explaining sonographic procedures to patients, answering questions, preparing patients ...",radiology,consulting diagnostics sonography Radiologist DMRD Sonologist diagnostic purposes,5 Days Ago,2023-03-05
68,Consultant Neurosurgeon/Neurophysician,People Alliance Workforce,0-5 Yrs,Not disclosed,"Indore, Jabalpur, Ahmedabad", He/ She must be responsible for performing surgeries to assist in rectifying medical co...,Neurology,Neurosurgery Spine Surgery hospital medical consulting healthcare spine,2 Days Ago,2023-03-05
69,Consultant,KPMG India,0-5 Yrs,Not disclosed,Mumbai (All Areas), Professionals with industry experience or experience in US GAAP/ UK GAAP/ Luxemburg GAA...,GAAP,Qualified CA financial statements ca accounting consulting finance Accountant,9 Days Ago,2023-03-05
70,Consultant,Personnel Search Services,0-4 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad"," Depending on your experience, maturity and industry knowledge, we hire consultants at d...",management,consulting cxo analytics stakeholder engagement operations investment agile,2 Days Ago,2023-03-05
71,Consultant,Optanium It Services,0-4 Yrs,Not disclosed,Chennai, 1+ years of web application development experience including strong working knowledge o...,Node.Js,React.Js consulting javascript,5 Days Ago,2023-03-05
72,Consultant,HighRadius,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad," Gather business requirements, explore solution options, brainstorm solutions with inter...",business process,customer support project project delivery order to cash architecture technology architecture technology,1 Day Ago,2023-03-05
73,"Consultant, Cybersecurity Consulting",Dell Technologies,10-14 Yrs,Not disclosed,Bangalore/Bengaluru," Bachelor s degree in computer science, Information Systems, or a related fieldInformati...",Cybersecurity Consulting,security consulting cissp iso ccsp security framework cloud,1 Day Ago,2023-03-05
74,"Consultant (vSphere, vSAN, VCF, vROps, VCAP)",VMware,6-12 Yrs,Not disclosed,Mumbai, Perform Ad-hoc / planned DR activities as and when required . . . . Troubleshoot issues...,computation,vcf vsan automation cism vsphere networking cloud computing,1 Day Ago,2023-03-05
75,Kubernetes Consultant,Medtronic,8-12 Yrs,Not disclosed,Hyderabad/Secunderabad," Experience with infrastructure automation, infrastructure as code - specifically Terraf...",Terraform,Kubernetes Administration Ansible aws Kubernates rbac microsoft azure administration,1 Day Ago,2023-03-05
76,Infra consultant - CircleCI,Accolite Software India Pvt Ltd,5-7 Yrs,Not disclosed,Bangalore/Bengaluru," A deep understanding of computer science, software development, and networking principl...",devops,networking automation computer science javascript consulting troubleshooting scalability,1 Day Ago,2023-03-05
77,Consultant,Genpact,1-5 Yrs,3.75-8.5 Lacs PA,Hybrid - Hyderabad/Secunderabad, Ready to work in shifts Minimum qualificationsPreferred qualifications,HTML,Css And Javascript css javascript cs consulting form builder,1 Day Ago,2023-03-05
78,Consultant Rheumatology,Medanta Hospital ,0-5 Yrs,Not disclosed,Indore, Candidates with relevant work experience in Rheumatology would be preferred. . . . . Ex...,rheumatology,consulting clinical,8 Days Ago,2023-03-05
79,IVF Consultant/ Gynecologist,People Alliance Workforce,0-5 Yrs,Not disclosed,"Udaipur, Indore, Ahmedabad"," The gynecologists responsibilities include performing breast examinations, prescribing ...",Gynecology,healthcare medical diagnostics laparoscopic surgery ivf surgery laparoscopy,9 Days Ago,2023-03-05
80,Executive (Export & Import) : 2 Vacancies,BSB Brokers Llp,0-5 Yrs,1.25-1.75 Lacs PA,"Gandhinagar, Nadiad, Ahmedabad(Jaspur +304)"," . BCOM, MBA Graduate or Postgraduate in any disciplineGathering Requirement of Importer...",export import,procurement sales material management intelligence export trade purchase management,4 Days Ago,2023-03-05
81,Logistic (Import and Export) - Executive,Ecliptic Hr Solutions,3-7 Yrs,Not disclosed,Pune, Experience: 3 years to 7 years,Export Documentation,International Logistics Export Import Logistics Logistics Operations Export Import Documentation import logistics clearing export,1 Day Ago,2023-03-05
82,Export import executive,Agarwal Job Placement,1-7 Yrs,Not disclosed,Surat," The Import Manager also negotiates with carriers, warehouse operators, or distribution ...",export import,import documentation documentation recruitment customs clearing merchandising import,3 Days Ago,2023-03-05
83,Export - Import  Executive,Drychem Solution,2-7 Yrs,2-7 Lacs PA,"Mumbai, Navi Mumbai, Kalyan/Dombivli"," EXPORT - IMPORT EXECUTIVE SALARY - UPTO 6-7 LPALCATION - GHANSOLI , NAVI MUMBAI ROLES &...",EXIM,export import cha import export import export,8 Days Ago,2023-03-05
84,Export-import manager,Aquascape Engineers pvt ltd,4-9 Yrs,3-5.5 Lacs PA,Ahmedabad, We are manufacturer and exporter of metal components. We are looking for an export impo...,Communication Skills,Export Import Documentation DGFT management import export import export documentation,14 Days Ago,2023-03-05
85,Import & Export Asst Manager / Manager,SV Management Consultants,7-10 Yrs,8-10 Lacs PA,"Indore, Pune", Job Description : Experience in Import & Exports.Must have experience in Production Pla...,Export Documentation,PPC Import International Export Export Sales fabrication costing fifo,12 Days Ago,2023-03-05
86,Import and Export Executive,Shri Sai Commodities,1-5 Yrs,Not disclosed,Indore, Roles and ResponsibilitiesJOB profile for Export Import Executive ( Requirements:.Desir...,Good Communication/Convincing skills,communication skills export import import export import export commodities,11 Days Ago,2023-03-05
87,Executive Export & Import,Prism Manpower Services,4-8 Yrs,Not disclosed,"Mumbai, Thane"," Vendor development, Price Negotiation of Capex / Consumables/Maintenance items . . Work...",epcg,export export documentation vendor packaging price negotiation vendor development documentation,30+ Days Ago,2023-03-05
88,Export & Import Executive,Lakshya Hr Solutions,2-5 Yrs,Not disclosed,Ludhiana," Handling EXIM activity - import Export shipments Cordination with CHA, Transporter, fre...",Export Documentation,Export Export Import Export Marketing export sales management customs documentation customs,10 Days Ago,2023-03-05
89,Executive - Export & Import,Mangalam Placement,6-8 Yrs,Not disclosed,Mumbai, Knowledge of Banking & L.C documentation . . Must have hands on experience in applicati...,management,dgft export import team management operations management exim exim policy import,25 Days Ago,2023-03-05
90,Export Import Executive (Male Navi Mumbai Only),Simosis International,5-7 Yrs,3.5-4.5 Lacs PA,Navi Mumbai, Candidates having experience in Export-Import Logistics Candidates having experience in...,Logistics Operations,import logistics export import export operations transportation warehouse,23 Days Ago,2023-03-05
91,Export & Import Executive -New Delhi,Key Life Sciences,5-10 Yrs,Not disclosed,Delhi / NCR," - Should be Graduate in Business / Commerce/Engineering - Independently handle, write a...",Operations Management,import export advance licence import management custom dgft import customs,23 Days Ago,2023-03-05
92,Executive Export Import,Nobel Hygiene,4-6 Yrs,Not disclosed,Mumbai (All Areas), . Any Graduate Should must have experience in EXIM industryRoles and Responsibilities P...,EXIM Policy,EXIM Cha import export export documentation import documentation import documentation,16 Days Ago,2023-03-05
93,Export-Import Executive,Quality Hr Services,2-3 Yrs,Not disclosed,Vapi, Good understanding of sales and marketing strategiesBuild relationships with leading sh...,export,management budget management international erp exim trade import,30+ Days Ago,2023-03-05
94,Export- Import Executive,7 Consultancy,1-3 Yrs,Not disclosed,"Imphal, Ahmedabad", DETAILS Export-Import documentation workPreparing all export & import documents like In...,coo,export export documentation import documentation logistics coordination packaging documentation freight,30+ Days Ago,2023-03-05
95,Export/ Import Executive,Ravi Placements,1-2 Yrs,Not disclosed,Vadodara, Order Approval and ExecutionFollow upmonitoring with productionPreparation of documenta...,export,dgft export documentation import documentation documentation export import documentation lead generation inspection,30+ Days Ago,2023-03-05
96,Export Import Executive,Star Vision Placement,3-6 Yrs,Not disclosed,Jaipur, Can Handle All Export / Import Related Work.,export import,import export export import Executive Export & Import,30+ Days Ago,2023-03-05
97,Marketing Executive Export import,Aarna Group,2-5 Yrs,Not disclosed,Ahmedabad, Marketing Executive Export import Market research sourcing find new buyers follow suppl...,export,management research market research relationship relationship marketing supply chain management supply,30+ Days Ago,2023-03-05
98,Export Import Executive,Kavya Management Services,2-5 Yrs,Not disclosed,"Ghaziabad, Greater Noida", Controlling Import/ Export procedures and documentations (PRE-POST SHIMENTS) Coordinati...,export import,export documentation import documentation documentation export import documentation excel management freight,30+ Days Ago,2023-03-05
99,Operation Executive Export/Import,S & J Group,1-4 Yrs,Not disclosed,Trivandrum/Thiruvananthapuram, Experience in Freight forwarding and clearance .,export,operations administration packaging freight clearing export management import export,30+ Days Ago,2023-03-05
